Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Hour,minute,second,Month,Day,Year
750-67-8428,0,2,0,0,3,74.69,7,26.1415,548.9715,2019-01-05,1900-01-01 13:08:00,2,522.83,4.761904762,26.1415,9.1,13,8,0,1,5,2019
226-31-3081,2,1,1,0,0,15.28,5,3.82,80.22,2019-03-08,1900-01-01 10:29:00,0,76.4,4.761904762,3.82,9.6,10,29,0,3,8,2019
631-41-3108,0,2,1,0,4,46.33,7,16.2155,340.5255,2019-03-03,1900-01-01 13:23:00,1,324.31,4.761904762,16.2155,7.4,13,23,0,3,3,2019
123-19-1176,0,2,0,0,3,58.22,8,23.288,489.048,2019-01-27,1900-01-01 20:33:00,2,465.76,4.761904762,23.288,8.4,20,33,0,1,27,2019
373-73-7910,0,2,0,0,5,86.31,7,30.2085,634.3785,2019-02-08,1900-01-01 10:37:00,2,604.17,4.761904762,30.2085,5.3,10,37,0,2,8,2019
699-14-3026,2,1,0,0,0,85.39,7,29.8865,627.6165,2019-03-25,1900-01-01 18:30:00,2,597.73,4.761904762,29.8865,4.1,18,30,0,3,25,2019
355-53-5943,0,2,0,0,0,68.84,6,20.652,433.692,2019-02-25,1900-01-01 14:36:00,2,413.04,4.761904762,20.652,5.8,14,36,0,2,25,2019
315-22-5665,2,1,0,0,4,73.56,10,36.78,772.38,2019-02-24,1900-01-01 11:38:00,2,735.6,4.761904762,36.78,8.0,11,38,0,2,24,2019
665-32-9167,0,2,0,0,3,36.26,2,3.626,76.146,2019-01-10,1900-01-01 17:15:00,1,72.52,4.761904762,3.626,7.2,17,15,0,1,10,2019
692-92-5582,1,0,0,0,2,54.84,3,8.226,172.746,2019-02-20,1900-01-01 13:27:00,1,164.52,4.761904762,8.226,5.9,13,27,0,2,20,2019
351-62-0822,1,0,0,0,1,14.48,4,2.896,60.816,2019-02-06,1900-01-01 18:07:00,2,57.92,4.761904762,2.896,4.5,18,7,0,2,6,2019
529-56-3974,1,0,0,0,0,25.51,4,5.102,107.142,2019-03-09,1900-01-01 17:03:00,0,102.04,4.761904762,5.102,6.8,17,3,0,3,9,2019
365-64-0515,0,2,0,0,0,46.95,5,11.7375,246.4875,2019-02-12,1900-01-01 10:25:00,2,234.75,4.761904762,11.7375,7.1,10,25,0,2,12,2019
252-56-2699,0,2,0,0,2,43.19,10,21.595,453.495,2019-02-07,1900-01-01 16:48:00,2,431.9,4.761904762,21.595,8.2,16,48,0,2,7,2019
829-34-3910,0,2,0,0,3,71.38,10,35.69,749.49,2019-03-29,1900-01-01 19:21:00,0,713.8,4.761904762,35.69,5.7,19,21,0,3,29,2019
299-46-1805,1,0,0,0,5,93.72,6,28.116,590.436,2019-01-15,1900-01-01 16:19:00,0,562.32,4.761904762,28.116,4.5,16,19,0,1,15,2019
656-95-9349,0,2,0,0,3,68.93,7,24.1255,506.6355,2019-03-11,1900-01-01 11:03:00,1,482.51,4.761904762,24.1255,4.6,11,3,0,3,11,2019
765-26-6951,0,2,0,0,5,72.61,6,21.783,457.443,2019-01-01,1900-01-01 10:39:00,1,435.66,4.761904762,21.783,6.9,10,39,0,1,1,2019
329-62-1586,0,2,0,0,2,54.67,3,8.2005,172.2105,2019-01-21,1900-01-01 18:00:00,1,164.01,4.761904762,8.2005,8.6,18,0,0,1,21,2019
319-50-3348,1,0,0,0,4,40.3,2,4.03,84.63,2019-03-11,1900-01-01 15:30:00,2,80.6,4.761904762,4.03,4.4,15,30,0,3,11,2019
300-71-4605,2,1,0,0,0,86.04,5,21.51,451.71,2019-02-25,1900-01-01 11:24:00,2,430.2,4.761904762,21.51,4.8,11,24,0,2,25,2019
371-85-5789,1,0,0,0,3,87.98,3,13.197,277.137,2019-03-05,1900-01-01 10:40:00,2,263.94,4.761904762,13.197,5.1,10,40,0,3,5,2019
273-16-6619,1,0,0,0,4,33.2,2,3.32,69.72,2019-03-15,1900-01-01 12:20:00,1,66.4,4.761904762,3.32,4.4,12,20,0,3,15,2019
636-48-8204,0,2,0,0,0,34.56,5,8.64,181.44,2019-02-17,1900-01-01 11:15:00,2,172.8,4.761904762,8.64,9.9,11,15,0,2,17,2019
549-59-1358,0,2,0,0,5,88.63,3,13.2945,279.1845,2019-03-02,1900-01-01 17:36:00,2,265.89,4.761904762,13.2945,6.0,17,36,0,3,2,2019
227-03-5010,0,2,0,0,4,52.59,8,21.036,441.756,2019-03-22,1900-01-01 19:20:00,1,420.72,4.761904762,21.036,8.5,19,20,0,3,22,2019
649-29-6775,1,0,0,0,1,33.52,1,1.676,35.196,2019-02-08,1900-01-01 15:31:00,0,33.52,4.761904762,1.676,6.7,15,31,0,2,8,2019
189-17-4241,0,2,0,0,1,87.67,2,8.767,184.107,2019-03-10,1900-01-01 12:17:00,1,175.34,4.761904762,8.767,7.7,12,17,0,3,10,2019
145-94-9061,1,0,0,0,2,88.36,5,22.09,463.89,2019-01-25,1900-01-01 19:48:00,0,441.8,4.761904762,22.09,9.6,19,48,0,1,25,2019
848-62-7243,0,2,0,0,3,24.89,9,11.2005,235.2105,2019-03-15,1900-01-01 15:36:00,0,224.01,4.761904762,11.2005,7.4,15,36,0,3,15,2019
871-79-8483,1,0,0,0,1,94.13,5,23.5325,494.1825,2019-02-25,1900-01-01 19:39:00,1,470.65,4.761904762,23.5325,4.8,19,39,0,2,25,2019
